date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:01	85530/85530	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:51%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-default.html	(from )
13:38:01	111189/111189	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:54%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/ecommerce-dashboard.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/ecommerce-dashboard.html	(from )
13:38:01	85608/85608	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:52%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-dark-header.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-dark-header.html	(from )
13:38:02	85584/85584	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:51%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-dark.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-dark.html	(from )
13:38:02	85644/85644	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:52%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-boxed.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-boxed.html	(from )
13:38:02	85655/85655	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:52%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-boxed-fixed-header.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-boxed-fixed-header.html	(from )
13:38:02	76713/76713	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:51%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu.html	(from )
13:38:03	76754/76754	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:51%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu-stripe.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu-stripe.html	(from )
13:38:03	76756/76756	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:51%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu-top-line.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-header-menu-top-line.html	(from )
13:38:03	85618/85618	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-light-sidebar.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-light-sidebar.html	(from )
13:38:04	85567/85567	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-scroll.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-scroll.html	(from )
13:38:04	85602/85602	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-big-icons.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-big-icons.html	(from )
13:38:04	85666/85666	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-big-icons-light.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-big-icons-light.html	(from )
13:38:04	83426/83426	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-panel.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-panel.html	(from )
13:38:05	83444/83444	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:50%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-panel-light.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-left-sidebar-panel-light.html	(from )
13:38:05	76931/76931	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:48%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-tab-navigation.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-tab-navigation.html	(from )
13:38:05	76898/76898	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:48%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-tab-navigation-dark.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-tab-navigation-dark.html	(from )
13:38:06	87330/87330	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:48%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-two-navigations.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-two-navigations.html	(from )
13:38:06	85687/85687	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:49%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-square-borders.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-square-borders.html	(from )
13:38:06	85646/85646	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:49%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-sidebar-sizes-sm.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-sidebar-sizes-sm.html	(from )
13:38:07	85646/85646	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Jan%202023%2020:16:49%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/layouts-sidebar-sizes-xs.html	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/layouts-sidebar-sizes-xs.html	(from )
13:38:07	31/31	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Jan%202023%2013:37:45%20GMT	https://www.okler.net/robots.txt		(from )
13:38:07	196490/196490	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:19:01%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/bootstrap/css/bootstrap.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/bootstrap/css/bootstrap.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:07	70598/70598	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:17:10%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/animate/animate.compat.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/animate/animate.compat.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:07	101894/101894	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:19:47%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/font-awesome/css/all.min.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/font-awesome/css/all.min.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:08	68028/68028	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:19:30%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/boxicons/css/boxicons.min.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/boxicons/css/boxicons.min.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:08	5236/5236	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:17:49%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/magnific-popup/magnific-popup.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/magnific-popup/magnific-popup.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:08	21092/21092	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:19:10%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:08	32047/32047	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:17:38%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/jquery-ui/jquery-ui.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/jquery-ui/jquery-ui.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
13:38:09	16465/16465	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2020:17:39%20GMT	https://www.okler.net/previews/porto-admin/4.1.0/vendor/jquery-ui/jquery-ui.theme.css	C:/Users/oyoun/OneDrive/Desktop/okler%20admin%20template/okler%20admin%20template/www.okler.net/previews/porto-admin/4.1.0/vendor/jquery-ui/jquery-ui.theme.css	(from https://www.okler.net/previews/porto-admin/4.1.0/layouts-default.html)
